"Secuencia","Costeo_Producto","Producto","Cliente","Detalle","Colores","Cantidad Solicitada","Costo Total Unitario","Costo Indirecto","Ganancia","Es Duplicado","Fijar Precio Venta","Margen Ganancia Real","Precio Venta","Costo Negociado Sin IVA","Negociado con","Categoría","Ficha Técnica Producto","Id.","Fecha"
5,"COS-0012959-5","Gorra seis cascos","Molt Panamá (PA)","Gorra operativa color beige  tipo seis cascos  con  visera  ensanduchada  en color  contraste logo bordado en casco frente","Negro",1,11730.0,1056.0,1.3,"false","false",23.08,16622.0,"","","Gorra-","gorra3.png","83558777","17/04/2026"
1,"COS-0012958-2","Harrington","Joe Hawkins","Colores varios","",300,72320.0,6509.0,1.6,"true","false",37.5,126126.0,"","","Chaqueta-","","83541479","17/04/2026"
2,"COS-0012958-2","Harrington","Joe Hawkins","Colores varios","",299,72320.0,6509.0,1.8,"true","false",44.44,141892.0,"","","Chaqueta-","","83541691","17/04/2026"
1,"COS-0012957-2","BLAZER SASTRE","G4S","1. D452237002  BLAZER DE SASTRE GRIS - ESCOL- CLIM FRIO HOMBRE","",1,156230.0,14061.0,1.5,"true","false",33.33,255437.0,"","","Chaqueta-","1. D452237002 - BLAZER DE SASTRE GRIS - ESCOL- CLIM FRIO (1).pdf","83499229","16/04/2026"
1,"COS-0012957-2","BLAZER SASTRE","G4S","1. D452237002  BLAZER DE SASTRE GRIS - ESCOL- CLIM FRIO HOMBRE","",1,156230.0,14061.0,1.5,"true","false",33.33,255437.0,"","","Chaqueta-","1. D452237002 - BLAZER DE SASTRE GRIS - ESCOL- CLIM FRIO (1).pdf","83505944","16/04/2026"
1,"COS-0012957-2","BLAZER SASTRE","G4S","1. D452237002  BLAZER DE SASTRE GRIS - ESCOL- CLIM FRIO HOMBRE","",1,156230.0,14061.0,1.5,"true","false",33.33,255437.0,"","","Chaqueta-","1. D452237002 - BLAZER DE SASTRE GRIS - ESCOL- CLIM FRIO (1).pdf","83505960","16/04/2026"
1,"COS-0012957-1","PANTALÓN CARGO","Sodimac","PANTALÓN CARGO BEIGE EN ARMY RIPSTOP DE QUANTTO","Beige",1,32135.0,2892.0,1.3,"true","false",23.08,45535.0,"","","Pantalon-","PANTALON_CARGO_BEIGE.png","83506300","16/04/2026"
2,"COS-0012957-3","BLAZER SASTRE","G4S","2. D452217002 BLAZER DE SASTRE AZUL - ESCOL- CLIM FRIO HOMBRE","",1,156230.0,14061.0,1.5,"true","false",33.33,255437.0,"","","Chaqueta-","","83499237","16/04/2026"
2,"COS-0012957-3","BLAZER SASTRE","G4S","2. D452217002 BLAZER DE SASTRE AZUL - ESCOL- CLIM FRIO HOMBRE","",1,156230.0,14061.0,1.5,"true","false",33.33,255437.0,"","","Chaqueta-","","83505999","16/04/2026"
2,"COS-0012957-3","BLAZER SASTRE","G4S","2. D452217002 BLAZER DE SASTRE AZUL - ESCOL- CLIM FRIO HOMBRE","",1,156230.0,14061.0,1.5,"true","false",33.33,255437.0,"","","Chaqueta-","","83506020","16/04/2026"
2,"COS-0012957-2","PANTALÓN CARGO","Sodimac","PANTALÓN CARGO BEIGE EN SEGAL WICKING DE LA FAYETTE","Beige",1,64398.0,5796.0,1.3,"true","false",23.08,91252.0,"","","Pantalon-","PANTALON_CARGO_BEIGE.png","83508758","16/04/2026"
3,"COS-0012957-3","PANTALÓN CARGO","Sodimac","PANTALÓN CARGO BEIGE EN LENOVOFLEX DE TESK","Beige",1,36050.0,3245.0,1.3,"true","false",23.08,51084.0,"","","Pantalon-","PANTALON_CARGO_BEIGE.png","83509313","16/04/2026"
3,"COS-0012957-4","PANTALÓN SASTRE","G4S","3. D452153001 PANTALON COLOR KAQUI- BOTA REC ESCOL","",1,34995.0,3150.0,1.5,"true","false",33.33,57218.0,"","","Pantalon-","","83499245","16/04/2026"
3,"COS-0012957-4","PANTALÓN SASTRE","G4S","3. D452153001 PANTALON COLOR KAQUI- BOTA REC ESCOL","",1,34995.0,3150.0,1.5,"true","false",33.33,57218.0,"","","Pantalon-","","83506061","16/04/2026"
3,"COS-0012957-4","PANTALÓN SASTRE","G4S","3. D452153001 PANTALON COLOR KAQUI- BOTA REC ESCOL","",1,34995.0,3150.0,1.5,"true","false",33.33,57218.0,"","","Pantalon-","","83506087","16/04/2026"
4,"COS-0012957-5","PANTALÓN SASTRE","G4S","4. D452135002  PANTALON DE SASTRE ESCOL -GRIS CLIM FRIO","",1,59641.0,5368.0,1.5,"true","false",33.33,97514.0,"","","Pantalon-","","83499255","16/04/2026"
4,"COS-0012957-5","PANTALÓN SASTRE","G4S","4. D452135002  PANTALON DE SASTRE ESCOL -GRIS CLIM FRIO","",1,59641.0,5368.0,1.5,"true","false",33.33,97514.0,"","","Pantalon-","","83506137","16/04/2026"
4,"COS-0012957-5","PANTALÓN SASTRE","G4S","4. D452135002  PANTALON DE SASTRE ESCOL -GRIS CLIM FRIO","",1,59641.0,5368.0,1.5,"true","false",33.33,97514.0,"","","Pantalon-","","83506165","16/04/2026"
4,"COS-0012957-4","PANTALÓN CARGO","Sodimac","PANTALÓN CARGO BEIGE EN DRIL ORION DE QUANTTO","Beige",1,32425.0,2918.0,1.3,"true","false",23.08,45946.0,"","","Pantalon-","PANTALON_CARGO_BEIGE.png","83510439","16/04/2026"
5,"COS-0012957-6","PANTALÓN SASTRE","G4S","5. D452123001   PANTALON COLOR NEGRO BOTA REC ESCOL","",1,33915.0,3052.0,1.5,"true","false",33.33,55451.0,"","","Pantalon-","","83499263","16/04/2026"
5,"COS-0012957-6","PANTALÓN SASTRE","G4S","5. D452123001   PANTALON COLOR NEGRO BOTA REC ESCOL","",1,33915.0,3052.0,1.5,"true","false",33.33,55451.0,"","","Pantalon-","","83506202","16/04/2026"
5,"COS-0012957-6","PANTALÓN SASTRE","G4S","5. D452123001   PANTALON COLOR NEGRO BOTA REC ESCOL","",1,33915.0,3052.0,1.5,"true","false",33.33,55451.0,"","","Pantalon-","","83506230","16/04/2026"
6,"COS-0012957-7","PANTALÓN SASTRE","G4S","6. D452115002  PANTALON DE SASTRE ESCOL- AZUL CLIM FRIO","",1,59641.0,5368.0,1.5,"true","false",33.33,97514.0,"","","Pantalon-","","83499270","16/04/2026"
6,"COS-0012957-7","PANTALÓN SASTRE","G4S","6. D452115002  PANTALON DE SASTRE ESCOL- AZUL CLIM FRIO","",1,59641.0,5368.0,1.5,"true","false",33.33,97514.0,"","","Pantalon-","","83506257","16/04/2026"
6,"COS-0012957-7","PANTALÓN SASTRE","G4S","6. D452115002  PANTALON DE SASTRE ESCOL- AZUL CLIM FRIO","",1,59641.0,5368.0,1.5,"true","false",33.33,97514.0,"","","Pantalon-","","83506288","16/04/2026"
7,"COS-0012957-8","CORBATA ADMINISTRATIVA","G4S","7. D451407002  CORBATA - ESCOLT- CLIM FRIO","",1,12000.0,1080.0,1.5,"true","false",33.33,19620.0,"","","Accesorios-","","83499278","16/04/2026"
7,"COS-0012957-8","CORBATA ADMINISTRATIVA","G4S","7. D451407002  CORBATA - ESCOLT- CLIM FRIO","",1,12000.0,1080.0,1.5,"true","false",33.33,19620.0,"","","Accesorios-","","83506324","16/04/2026"
7,"COS-0012957-8","CORBATA ADMINISTRATIVA","G4S","7. D451407002  CORBATA - ESCOLT- CLIM FRIO","",1,12000.0,1080.0,1.5,"true","false",33.33,19620.0,"","","Accesorios-","","83506357","16/04/2026"
8,"COS-0012957-9","Camisa Tipo Columbia","G4S","8. D451147004   CAMISA TIPO COLUMBIA- ESCOLTA - AZUL OSCURA HOMBRE","",1,48815.0,4393.0,1.5,"true","false",33.33,79812.0,"","","Camisa-","","83499281","16/04/2026"
8,"COS-0012957-9","Camisa Tipo Columbia","G4S","8. D451147004   CAMISA TIPO COLUMBIA- ESCOLTA - AZUL OSCURA HOMBRE","",1,48815.0,4393.0,1.5,"true","false",33.33,79812.0,"","","Camisa-","","83506360","16/04/2026"
8,"COS-0012957-9","Camisa Tipo Columbia","G4S","8. D451147004   CAMISA TIPO COLUMBIA- ESCOLTA - AZUL OSCURA HOMBRE","",1,48815.0,4393.0,1.5,"true","false",33.33,79812.0,"","","Camisa-","","83506386","16/04/2026"
9,"COS-0012957-10","Camisa Tipo Columbia","G4S","9. D451147003  CAMISA TIPO COLUMBIA- ESCOLTA - BLANCA HOMBRE","",1,48815.0,4393.0,1.5,"true","false",33.33,79812.0,"","","Camisa-","","83499288","16/04/2026"
9,"COS-0012957-10","Camisa Tipo Columbia","G4S","9. D451147003  CAMISA TIPO COLUMBIA- ESCOLTA - BLANCA HOMBRE","",1,48815.0,4393.0,1.5,"true","false",33.33,79812.0,"","","Camisa-","","83506417","16/04/2026"
9,"COS-0012957-10","Camisa Tipo Columbia","G4S","9. D451147003  CAMISA TIPO COLUMBIA- ESCOLTA - BLANCA HOMBRE","",1,48815.0,4393.0,1.5,"true","false",33.33,79812.0,"","","Camisa-","","83506447","16/04/2026"
10,"COS-0012957-11","CAMISA MANGA LARGA","G4S","10. D451147002  CAMISA BLA - ESCOL- CLIM FRIO","",1,44920.0,4043.0,1.5,"true","false",33.33,73445.0,"","","Camisa-","","83499295","16/04/2026"
10,"COS-0012957-11","CAMISA MANGA LARGA","G4S","10. D451147002  CAMISA BLA - ESCOL- CLIM FRIO","",1,44920.0,4043.0,1.5,"true","false",33.33,73445.0,"","","Camisa-","","83506471","16/04/2026"
10,"COS-0012957-11","CAMISA MANGA LARGA","G4S","10. D451147002  CAMISA BLA - ESCOL- CLIM FRIO","",1,44920.0,4043.0,1.5,"true","false",33.33,73445.0,"","","Camisa-","","83506506","16/04/2026"
11,"COS-0012957-12","CAMISA MANGA LARGA","G4S","11. D451142001  CAMISA MANGA LARGA BLANCA SIN LOG OXFORD","",1,37920.0,3413.0,1.5,"true","false",33.33,62000.0,"","","Camisa-","","83499301","16/04/2026"
11,"COS-0012957-12","CAMISA MANGA LARGA","G4S","11. D451142001  CAMISA MANGA LARGA BLANCA SIN LOG OXFORD","",1,37920.0,3413.0,1.5,"true","false",33.33,62000.0,"","","Camisa-","","83506525","16/04/2026"
11,"COS-0012957-12","CAMISA MANGA LARGA","G4S","11. D451142001  CAMISA MANGA LARGA BLANCA SIN LOG OXFORD","",1,37920.0,3413.0,1.5,"true","false",33.33,62000.0,"","","Camisa-","","83506558","16/04/2026"
12,"COS-0012957-13","Overol Tipo Piloto","G4S","12.  D442312001  OVEROL INDUSTRIAL CON REFLECTIVO","",1,67850.0,6107.0,1.5,"true","false",33.33,110936.0,"","","Overol-","","83499307","16/04/2026"
12,"COS-0012957-13","Overol Tipo Piloto","G4S","12.  D442312001  OVEROL INDUSTRIAL CON REFLECTIVO","",1,67850.0,6107.0,1.5,"true","false",33.33,110936.0,"","","Overol-","","83506574","16/04/2026"
12,"COS-0012957-13","Overol Tipo Piloto","G4S","12.  D442312001  OVEROL INDUSTRIAL CON REFLECTIVO","",1,67850.0,6107.0,1.5,"true","false",33.33,110936.0,"","","Overol-","","83506604","16/04/2026"
12,"COS-0012957-12","Overol Tipo Piloto","G4S","12.  D442312001  OVEROL INDUSTRIAL CON REFLECTIVO","Azul oscuro",1,76250.0,6863.0,1.5,"true","false",33.33,124670.0,"","","Overol-","D442312001 OVEROL CINTA REFLECTIVA.pdf","83506645","16/04/2026"
13,"COS-0012957-14","overol enterizo overol enterizo","G4S","13.  D442311001  OVEROL LINEA AMARILLA-POLIESTER","",1,63700.0,5733.0,1.5,"true","false",33.33,104150.0,"","","Overol-","","83499318","16/04/2026"
13,"COS-0012957-14","overol enterizo overol enterizo","G4S","13.  D442311001  OVEROL LINEA AMARILLA-POLIESTER","",1,63700.0,5733.0,1.5,"true","false",33.33,104150.0,"","","Overol-","","83506643","16/04/2026"
13,"COS-0012957-14","overol enterizo overol enterizo","G4S","13.  D442311001  OVEROL LINEA AMARILLA-POLIESTER","",1,63700.0,5733.0,1.5,"true","false",33.33,104150.0,"","","Overol-","","83506665","16/04/2026"
14,"COS-0012957-15","Camibuzo","G4S","14.  D431211018  CAMISETA MANG LAR NEGRA- CLI FRIO-CALIDO","",1,41150.0,3704.0,1.5,"true","false",33.33,67281.0,"","","Camibuzo-","","83499329","16/04/2026"
14,"COS-0012957-15","Camibuzo","G4S","14.  D431211018  CAMISETA MANG LAR NEGRA- CLI FRIO-CALIDO","",1,41150.0,3704.0,1.5,"true","false",33.33,67281.0,"","","Camibuzo-","","83506706","16/04/2026"
14,"COS-0012957-15","Camibuzo","G4S","14.  D431211018  CAMISETA MANG LAR NEGRA- CLI FRIO-CALIDO","",1,41150.0,3704.0,1.5,"true","false",33.33,67281.0,"","","Camibuzo-","","83506741","16/04/2026"
15,"COS-0012957-16","PANTALÓN SASTRE","G4S","15. D412120001   PANTALON NEGRO ADMINISTRATIVO HOMBRE","",1,53935.0,4854.0,1.5,"true","false",33.33,88184.0,"","","Pantalon-","","83499335","16/04/2026"
15,"COS-0012957-16","PANTALÓN SASTRE","G4S","15. D412120001   PANTALON NEGRO ADMINISTRATIVO HOMBRE","",1,53935.0,4854.0,1.5,"true","false",33.33,88184.0,"","","Pantalon-","","83506864","16/04/2026"
15,"COS-0012957-16","PANTALÓN SASTRE","G4S","15. D412120001   PANTALON NEGRO ADMINISTRATIVO HOMBRE","",1,53935.0,4854.0,1.5,"true","false",33.33,88184.0,"","","Pantalon-","","83507031","16/04/2026"
15,"COS-0012957-15","PANTALÓN SASTRE","G4S","15. D412120001   PANTALON NEGRO ADMINISTRATIVO HOMBRE","Negro",1,53935.0,4854.0,1.5,"true","false",33.33,88184.0,"","","Pantalon-","D412120001 PANTALON NEGRO ADMINISTRATIVO.pdf","83507077","16/04/2026"
16,"COS-0012957-17","PANTALÓN SASTRE","G4S","16. D412120001   PANTALON NEGRO ADMINISTRATIVO MUJER","",1,49185.0,4427.0,1.5,"true","false",33.33,80418.0,"","","Pantalon-","","83499343","16/04/2026"
16,"COS-0012957-17","PANTALÓN SASTRE","G4S","16. D412120001   PANTALON NEGRO ADMINISTRATIVO MUJER","",1,49185.0,4427.0,1.5,"true","false",33.33,80418.0,"","","Pantalon-","","83507060","16/04/2026"
16,"COS-0012957-17","PANTALÓN SASTRE","G4S","16. D412120001   PANTALON NEGRO ADMINISTRATIVO MUJER","",1,49185.0,4427.0,1.5,"true","false",33.33,80418.0,"","","Pantalon-","","83507083","16/04/2026"
17,"COS-0012957-18","ROMPEVIENTOS REFLECTIVA","G4S","17.  D411324001  CHAQUETA NEGRA INT ROJO HOMBRE","",1,51252.0,4613.0,1.5,"true","false",33.33,83798.0,"","","Chaqueta-","","83499351","16/04/2026"
17,"COS-0012957-18","ROMPEVIENTOS REFLECTIVA","G4S","17.  D411324001  CHAQUETA NEGRA INT ROJO HOMBRE","",1,51252.0,4613.0,1.5,"true","false",33.33,83798.0,"","","Chaqueta-","","83507109","16/04/2026"
17,"COS-0012957-18","ROMPEVIENTOS REFLECTIVA","G4S","17.  D411324001  CHAQUETA NEGRA INT ROJO HOMBRE","",1,51252.0,4613.0,1.5,"true","false",33.33,83798.0,"","","Chaqueta-","","83507131","16/04/2026"
17,"COS-0012957-17","ROMPEVIENTOS REFLECTIVA","G4S","17.  D411324001  CHAQUETA NEGRA INT ROJO HOMBRE","Negro",1,51252.0,4613.0,1.5,"true","false",33.33,83798.0,"","","Chaqueta-","D411324001 CHAQUETA NEGRA INTERIOR ROJO.pdf","83507180","16/04/2026"
18,"COS-0012957-19","CAMISA MANGA LARGA","G4S","18. D401112001  CAMISA HOMBRE MANGA LARGA OXFORD AZUL- CON LOG","",1,35720.0,3215.0,1.5,"true","false",33.33,58403.0,"","","Camisa-","","83499363","16/04/2026"
18,"COS-0012957-19","CAMISA MANGA LARGA","G4S","18. D401112001  CAMISA HOMBRE MANGA LARGA OXFORD AZUL- CON LOG","",1,35720.0,3215.0,1.5,"true","false",33.33,58403.0,"","","Camisa-","","83507178","16/04/2026"
18,"COS-0012957-19","CAMISA MANGA LARGA","G4S","18. D401112001  CAMISA HOMBRE MANGA LARGA OXFORD AZUL- CON LOG","",1,35720.0,3215.0,1.5,"true","false",33.33,58403.0,"","","Camisa-","","83507202","16/04/2026"
19,"COS-0012957-20","CAMISA MANGA LARGA","G4S","19.  D401112001   CAMISA MUJER MANGA LARGA OXFORD AZUL- CON LOG","",1,34970.0,3147.0,1.5,"true","false",33.33,57176.0,"","","Camisa-","","83499370","16/04/2026"
19,"COS-0012957-20","CAMISA MANGA LARGA","G4S","19.  D401112001   CAMISA MUJER MANGA LARGA OXFORD AZUL- CON LOG","",1,34970.0,3147.0,1.5,"true","false",33.33,57176.0,"","","Camisa-","","83507221","16/04/2026"
19,"COS-0012957-20","CAMISA MANGA LARGA","G4S","19.  D401112001   CAMISA MUJER MANGA LARGA OXFORD AZUL- CON LOG","",1,34970.0,3147.0,1.5,"true","false",33.33,57176.0,"","","Camisa-","","83507248","16/04/2026"
20,"COS-0012957-21","BLAZER SASTRE","G4S","20.  D372120001  PANTALON ADMON NEGRO ( MATERNO )","",1,37370.0,3363.0,1.5,"true","false",33.33,61100.0,"","","Chaqueta-","","83499377","16/04/2026"
20,"COS-0012957-21","BLAZER SASTRE","G4S","20.  D372120001  PANTALON ADMON NEGRO ( MATERNO )","",1,37370.0,3363.0,1.5,"true","false",33.33,61100.0,"","","Chaqueta-","","83507264","16/04/2026"
20,"COS-0012957-21","BLAZER SASTRE","G4S","20.  D372120001  PANTALON ADMON NEGRO ( MATERNO )","",1,37370.0,3363.0,1.5,"true","false",33.33,61100.0,"","","Chaqueta-","","83507291","16/04/2026"
21,"COS-0012957-22","CAMISA MANGA LARGA","G4S","21.  D371142001  CAMISA HOMBRE MANGA LARGA OXFORD BLANCA- CON LOG","",1,39720.0,3575.0,1.5,"true","false",33.33,64943.0,"","","Camisa-","","83499384","16/04/2026"
21,"COS-0012957-22","CAMISA MANGA LARGA","G4S","21.  D371142001  CAMISA HOMBRE MANGA LARGA OXFORD BLANCA- CON LOG","",1,39720.0,3575.0,1.5,"true","false",33.33,64943.0,"","","Camisa-","","83507307","16/04/2026"
21,"COS-0012957-22","CAMISA MANGA LARGA","G4S","21.  D371142001  CAMISA HOMBRE MANGA LARGA OXFORD BLANCA- CON LOG","",1,39720.0,3575.0,1.5,"true","false",33.33,64943.0,"","","Camisa-","","83507334","16/04/2026"
21,"COS-0012957-21","CAMISA MANGA LARGA","G4S","21.  D371142001  CAMISA HOMBRE MANGA LARGA OXFORD BLANCA- CON LOG","Blanco",1,39720.0,3575.0,1.5,"true","false",33.33,64943.0,"","","Camisa-","D371142001 CAMISA MANGA LARGA OXFORD BLANCA- CON LOG .pdf","83507381","16/04/2026"
22,"COS-0012957-23","CAMISA MANGA LARGA","G4S","22.  D371142001   CAMISA MANGA LARGA OXFORD BLANCA- CON LOG","",1,30195.0,2718.0,1.5,"true","false",33.33,49370.0,"","","Camisa-","","83499391","16/04/2026"
22,"COS-0012957-23","CAMISA MANGA LARGA","G4S","22.  D371142001   CAMISA MANGA LARGA OXFORD BLANCA- CON LOG","",1,30195.0,2718.0,1.5,"true","false",33.33,49370.0,"","","Camisa-","","83507351","16/04/2026"
22,"COS-0012957-23","CAMISA MANGA LARGA","G4S","22.  D371142001   CAMISA MANGA LARGA OXFORD BLANCA- CON LOG","",1,30195.0,2718.0,1.5,"true","false",33.33,49370.0,"","","Camisa-","","83507379","16/04/2026"
23,"COS-0012957-24","PANTALÓN CARGO","G4S","23.  D362120001  PANTALON NEGRO TIPO CAMUFLADO HOMBRE","",1,62260.0,5603.0,1.5,"true","false",33.33,101795.0,"","","Pantalon-","","83499398","16/04/2026"
23,"COS-0012957-24","PANTALÓN CARGO","G4S","23.  D362120001  PANTALON NEGRO TIPO CAMUFLADO HOMBRE","",1,62260.0,5603.0,1.5,"true","false",33.33,101795.0,"","","Pantalon-","","83507396","16/04/2026"
23,"COS-0012957-24","PANTALÓN CARGO","G4S","23.  D362120001  PANTALON NEGRO TIPO CAMUFLADO HOMBRE","",1,62260.0,5603.0,1.5,"true","false",33.33,101795.0,"","","Pantalon-","","83507423","16/04/2026"
24,"COS-0012957-25","PANTALÓN CARGO","G4S","24.  D362120001  PANTALON NEGRO TIPO CAMUFLADO MUJER","",1,62260.0,5603.0,1.5,"true","false",33.33,101795.0,"","","Pantalon-","","83499408","16/04/2026"
24,"COS-0012957-25","PANTALÓN CARGO","G4S","24.  D362120001  PANTALON NEGRO TIPO CAMUFLADO MUJER","",1,62260.0,5603.0,1.5,"true","false",33.33,101795.0,"","","Pantalon-","","83507458","16/04/2026"
24,"COS-0012957-25","PANTALÓN CARGO","G4S","24.  D362120001  PANTALON NEGRO TIPO CAMUFLADO MUJER","",1,62260.0,5603.0,1.5,"true","false",33.33,101795.0,"","","Pantalon-","","83507482","16/04/2026"
25,"COS-0012957-26","ROMPEVIENTOS REFLECTIVA","G4S","25.  D361321002  CHAQUETA NEGRA TIPO TECNICO- CON REFLECTIVO HOMBRE","",1,86352.0,7772.0,1.5,"true","false",33.33,141186.0,"","","Chaqueta-","","83499418","16/04/2026"
25,"COS-0012957-26","ROMPEVIENTOS REFLECTIVA","G4S","25.  D361321002  CHAQUETA NEGRA TIPO TECNICO- CON REFLECTIVO HOMBRE","",1,86352.0,7772.0,1.5,"true","false",33.33,141186.0,"","","Chaqueta-","","83507520","16/04/2026"
25,"COS-0012957-26","ROMPEVIENTOS REFLECTIVA","G4S","25.  D361321002  CHAQUETA NEGRA TIPO TECNICO- CON REFLECTIVO HOMBRE","",1,86352.0,7772.0,1.5,"true","false",33.33,141186.0,"","","Chaqueta-","","83507542","16/04/2026"
26,"COS-0012957-27","ROMPEVIENTOS REFLECTIVA","G4S","26.  D361320001  CHAQUETA NEGRA TIPO TECNICO HOMBRE","",1,81452.0,7331.0,1.5,"true","false",33.33,133175.0,"","","Chaqueta-","","83499432","16/04/2026"
26,"COS-0012957-27","ROMPEVIENTOS REFLECTIVA","G4S","26.  D361320001  CHAQUETA NEGRA TIPO TECNICO HOMBRE","",1,81452.0,7331.0,1.5,"true","false",33.33,133175.0,"","","Chaqueta-","","83507594","16/04/2026"
26,"COS-0012957-27","ROMPEVIENTOS REFLECTIVA","G4S","26.  D361320001  CHAQUETA NEGRA TIPO TECNICO HOMBRE","",1,81452.0,7331.0,1.5,"true","false",33.33,133175.0,"","","Chaqueta-","","83507616","16/04/2026"
27,"COS-0012957-28","Camibuzo","G4S","27.  D361211001  CAMISETA POLO NEGRA CON LOGO Y REFLECTIVO - MLARGA","",1,25560.0,2300.0,1.5,"true","false",33.33,41790.0,"","","Camibuzo-","","83499444","16/04/2026"
27,"COS-0012957-28","Camibuzo","G4S","27.  D361211001  CAMISETA POLO NEGRA CON LOGO Y REFLECTIVO - MLARGA","",1,25560.0,2300.0,1.5,"true","false",33.33,41790.0,"","","Camibuzo-","","83507661","16/04/2026"
27,"COS-0012957-28","Camibuzo","G4S","27.  D361211001  CAMISETA POLO NEGRA CON LOGO Y REFLECTIVO - MLARGA","",1,25560.0,2300.0,1.5,"true","false",33.33,41790.0,"","","Camibuzo-","","83507683","16/04/2026"
28,"COS-0012957-29","PANTALÓN SASTRE","G4S","28. D332150001  PANTALON CPO BEIGE HOMBRE","",1,46435.0,4179.0,1.5,"true","false",33.33,75921.0,"","","Pantalon-","","83499452","16/04/2026"
28,"COS-0012957-29","PANTALÓN SASTRE","G4S","28. D332150001  PANTALON CPO BEIGE HOMBRE","",1,46435.0,4179.0,1.5,"true","false",33.33,75921.0,"","","Pantalon-","","83507711","16/04/2026"
28,"COS-0012957-29","PANTALÓN SASTRE","G4S","28. D332150001  PANTALON CPO BEIGE HOMBRE","",1,46435.0,4179.0,1.5,"true","false",33.33,75921.0,"","","Pantalon-","","83507735","16/04/2026"
29,"COS-0012957-30","PANTALÓN SASTRE","G4S","29. D332150001  PANTALON CPO BEIGE MUJER","",1,27185.0,2447.0,1.5,"true","false",33.33,44448.0,"","","Pantalon-","","83499461","16/04/2026"
